id,pattern_type,pattern_name,cluster_name,namespace,signature_vector,confidence,occurrence_count,first_seen,last_seen,metadata,created_at
300,cpu_spike,cart-svc-sawtooth,prod-usw2-eks,checkout,"[0.577,0.926,0.675,0.932,0.033,0.614,0.225,0.52,0.796,0.685,0.172,0.774]",0.5396,43,2026-05-21 06:12:59,2026-06-07 13:36:10,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
301,oom,ledger-svc-rampup,prod-usw2-eks,ledger,"[0.49,0.269,0.674,0.562,0.374,0.574,0.921,0.758,0.062,0.378,0.114,0.63]",0.6394,130,2026-05-07 17:34:58,2026-06-11 09:40:34,"{""svc"":""ledger-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
302,memory_leak,config-svc-rampup,prod-usw2-eks,platform,"[0.637,0.84,0.413,0.319,0.23,0.587,0.029,0.959,0.275,0.5,0.605,0.838]",0.885,106,2026-05-13 19:58:58,2026-06-14 04:01:51,"{""svc"":""config-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
303,cpu_spike,cart-svc-rampup,dr-use1-eks,checkout,"[0.302,0.91,0.92,0.91,0.923,0.602,0.93,0.088,0.145,0.794,0.801,0.253]",0.6138,146,2026-05-05 12:50:44,2026-06-18 23:46:46,"{""svc"":""cart-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
304,cpu_spike,recommendation-plateau,prod-usw2-eks,search,"[0.74,0.072,0.314,0.487,0.297,0.643,0.897,0.778,0.369,0.962,0.827,0.81]",0.6183,150,2026-05-21 10:02:23,2026-06-10 06:41:38,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
305,memory_leak,orders-worker-plateau,prod-use2-eks,orders,"[0.346,0.382,0.956,0.789,0.729,0.027,0.582,0.282,0.471,0.235,0.74,0.522]",0.8677,138,2026-05-23 07:02:54,2026-05-31 23:54:36,"{""svc"":""orders-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
306,cpu_spike,payments-api-rampup,prod-use2-eks,payments,"[0.481,0.118,0.971,0.996,0.814,0.178,0.89,0.352,0.995,0.333,0.118,0.293]",0.6017,187,2026-05-03 17:16:15,2026-06-04 00:41:46,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
307,cpu_spike,payments-api-plateau,prod-use2-eks,payments,"[0.711,0.794,0.701,0.631,0.133,0.701,0.105,0.928,0.295,0.984,0.228,0.701]",0.6764,47,2026-05-07 04:22:04,2026-06-11 16:39:36,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
308,oom,search-api-spike,dr-use1-eks,search,"[0.69,0.505,0.983,0.362,0.292,0.349,0.637,0.375,0.411,0.136,0.503,0.19]",0.6928,123,2026-05-07 18:15:56,2026-06-13 04:07:15,"{""svc"":""search-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
309,cpu_spike,checkout-web-sawtooth,prod-use2-eks,checkout,"[0.18,0.98,0.993,0.375,0.025,0.82,0.442,0.547,0.122,0.649,0.829,0.853]",0.5878,135,2026-04-28 19:17:39,2026-05-24 19:04:56,"{""svc"":""checkout-web"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
310,crashloop,checkout-web-rampup,prod-usw2-eks,checkout,"[0.872,0.925,0.583,0.616,0.724,0.693,0.773,0.974,0.248,0.012,0.749,0.882]",0.525,123,2026-04-25 13:28:53,2026-06-06 23:01:25,"{""svc"":""checkout-web"",""scenario"":""healthy""}",2026-06-23 12:00:00
311,cpu_spike,ledger-svc-rampup,prod-usw2-eks,ledger,"[0.748,0.236,0.941,0.909,0.699,0.64,0.36,0.739,0.358,0.038,0.345,0.402]",0.6978,163,2026-05-21 16:17:13,2026-06-14 15:46:57,"{""svc"":""ledger-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
312,cpu_spike,search-api-plateau,prod-use2-eks,search,"[0.172,0.529,0.771,0.763,0.139,0.925,0.695,0.989,0.714,0.496,0.318,0.943]",0.8241,53,2026-05-16 13:13:23,2026-06-17 12:32:20,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
313,memory_leak,payments-api-rampup,prod-use2-eks,payments,"[0.081,0.95,0.236,0.848,0.583,0.277,0.104,0.695,0.238,0.747,0.426,0.266]",0.7046,19,2026-05-03 08:13:03,2026-06-02 16:55:36,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
314,crashloop,payments-api-spike,prod-use2-eks,payments,"[0.289,0.22,0.798,0.951,0.162,0.286,0.06,0.868,0.643,0.027,0.446,0.905]",0.7079,82,2026-05-13 14:36:25,2026-06-20 10:21:31,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
315,oom,orders-api-spike,prod-usw2-eks,orders,"[0.199,0.182,0.34,0.853,0.385,0.693,0.388,0.13,0.169,0.604,0.815,0.833]",0.8162,35,2026-05-19 07:52:24,2026-06-13 12:58:07,"{""svc"":""orders-api"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
316,memory_leak,cart-svc-rampup,prod-usw2-eks,checkout,"[0.943,0.757,0.326,0.462,0.256,0.918,0.468,0.314,0.463,0.959,0.042,0.742]",0.6152,26,2026-05-24 04:51:10,2026-06-04 22:38:56,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
317,latency,inventory-svc-rampup,prod-use2-eks,inventory,"[0.733,0.93,0.285,0.771,0.707,0.275,0.682,0.476,0.259,0.491,0.623,0.72]",0.7867,73,2026-04-24 20:07:30,2026-06-17 01:15:57,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
318,oom,session-store-sawtooth,prod-use2-eks,identity,"[0.901,0.221,0.424,0.314,0.685,0.072,0.096,0.056,0.669,0.327,0.779,0.079]",0.9475,18,2026-04-28 09:25:58,2026-06-06 15:08:27,"{""svc"":""session-store"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
319,oom,auth-gateway-spike,prod-use2-eks,identity,"[0.214,0.191,0.946,0.147,0.636,0.176,0.419,0.653,0.438,0.68,0.525,0.859]",0.9608,130,2026-05-18 10:53:13,2026-06-10 17:38:43,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
320,latency,payments-worker-spike,prod-use2-eks,payments,"[0.706,0.096,0.438,0.637,0.755,0.663,0.459,0.299,0.469,0.58,0.235,0.84]",0.6987,12,2026-05-18 15:32:16,2026-06-03 16:32:10,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
321,memory_leak,session-store-sawtooth,staging-use2-eks,identity,"[0.717,0.086,0.896,0.863,0.485,0.988,0.499,0.071,0.801,0.582,0.18,0.603]",0.8465,199,2026-05-06 03:00:33,2026-06-12 02:25:40,"{""svc"":""session-store"",""scenario"":""network_latency""}",2026-06-23 12:00:00
322,latency,inventory-svc-rampup,prod-use2-eks,inventory,"[0.211,0.364,0.5,0.925,0.5,0.023,0.385,0.419,0.164,0.18,0.964,0.245]",0.7737,80,2026-05-11 07:09:29,2026-05-27 14:52:20,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
323,latency,recommendation-rampup,staging-use2-eks,search,"[0.217,0.655,0.09,0.247,0.552,0.296,0.492,0.557,0.062,0.409,0.374,0.964]",0.6638,30,2026-04-27 03:39:21,2026-06-23 03:31:52,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
324,memory_leak,recommendation-plateau,prod-usw2-eks,search,"[0.172,0.444,0.601,0.614,0.942,0.942,0.958,0.737,0.981,0.237,0.394,0.557]",0.813,185,2026-05-24 10:32:35,2026-05-27 02:54:48,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
325,cpu_spike,notifications-sawtooth,staging-use2-eks,notifications,"[0.691,0.886,0.572,0.588,0.544,0.396,0.982,0.99,0.14,0.782,0.219,0.551]",0.9553,4,2026-05-02 16:33:00,2026-06-06 15:21:24,"{""svc"":""notifications"",""scenario"":""healthy""}",2026-06-23 12:00:00
326,oom,ledger-svc-rampup,prod-usw2-eks,ledger,"[0.578,0.108,0.495,0.651,0.281,0.8,0.89,0.627,0.809,0.898,0.515,0.862]",0.6319,45,2026-05-01 01:58:56,2026-06-23 09:32:39,"{""svc"":""ledger-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
327,cpu_spike,session-store-plateau,staging-use2-eks,identity,"[0.828,0.797,0.696,0.374,0.657,0.831,0.886,0.445,0.103,0.229,0.679,0.056]",0.8734,179,2026-05-23 13:47:13,2026-06-04 18:25:31,"{""svc"":""session-store"",""scenario"":""network_latency""}",2026-06-23 12:00:00
328,memory_leak,cart-svc-plateau,prod-usw2-eks,checkout,"[0.812,0.894,0.652,0.413,0.859,0.229,0.86,0.848,0.173,0.833,0.297,0.329]",0.7822,77,2026-05-10 09:54:23,2026-06-08 10:43:10,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
329,oom,ledger-svc-plateau,prod-use2-eks,ledger,"[0.957,0.634,0.219,0.671,0.073,0.616,0.519,0.595,0.43,0.425,0.238,0.416]",0.7608,157,2026-05-01 15:41:13,2026-06-02 00:03:39,"{""svc"":""ledger-svc"",""scenario"":""cpu_throttle""}",2026-06-23 12:00:00
330,oom,payments-worker-plateau,prod-use2-eks,payments,"[0.947,0.786,0.579,0.961,0.402,0.362,0.668,0.823,0.653,0.159,0.93,0.501]",0.725,18,2026-04-24 18:49:18,2026-06-12 03:13:52,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
331,memory_leak,payments-worker-sawtooth,prod-usw2-eks,payments,"[0.068,0.284,0.676,0.272,0.641,0.273,0.774,0.17,0.094,0.343,0.724,0.103]",0.6129,6,2026-05-13 08:45:09,2026-06-14 18:53:13,"{""svc"":""payments-worker"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
332,cpu_spike,metrics-server-sawtooth,prod-use2-eks,kube-system,"[0.371,0.022,0.158,0.834,0.488,0.728,0.8,0.084,0.959,0.595,0.269,0.315]",0.8308,41,2026-05-11 03:59:55,2026-06-01 21:12:00,"{""svc"":""metrics-server"",""scenario"":""network_latency""}",2026-06-23 12:00:00
333,memory_leak,recommendation-rampup,prod-usw2-eks,search,"[0.05,0.198,0.529,0.596,0.027,0.333,0.661,0.346,0.085,0.93,0.398,0.608]",0.5334,85,2026-05-09 03:38:42,2026-06-19 11:41:26,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
334,crashloop,auth-gateway-sawtooth,prod-usw2-eks,identity,"[0.3,0.126,0.017,0.154,0.278,0.362,0.704,0.29,0.003,0.101,0.796,0.996]",0.6664,19,2026-05-04 17:06:06,2026-06-11 15:00:11,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
335,latency,search-api-plateau,prod-usw2-eks,search,"[0.493,0.057,0.254,0.865,0.521,0.113,0.837,0.067,0.036,0.755,0.537,0.765]",0.6608,171,2026-04-29 12:56:27,2026-06-15 23:12:25,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
336,latency,checkout-web-plateau,prod-usw2-eks,checkout,"[0.623,0.448,0.995,0.022,0.515,0.165,0.266,0.047,0.317,0.059,0.717,0.947]",0.6907,195,2026-05-13 17:03:45,2026-06-22 13:24:17,"{""svc"":""checkout-web"",""scenario"":""healthy""}",2026-06-23 12:00:00
337,memory_leak,checkout-web-spike,staging-use2-eks,checkout,"[0.391,0.03,0.821,0.594,0.185,0.989,0.312,0.041,0.674,0.121,0.483,0.702]",0.8489,102,2026-05-13 16:24:09,2026-05-28 22:39:17,"{""svc"":""checkout-web"",""scenario"":""node_pressure""}",2026-06-23 12:00:00
338,latency,coredns-spike,prod-use2-eks,kube-system,"[0.064,0.966,0.028,0.382,0.812,0.764,0.732,0.053,0.312,0.129,0.157,0.857]",0.9311,33,2026-04-25 14:56:13,2026-06-18 07:02:02,"{""svc"":""coredns"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
339,cpu_spike,cart-svc-spike,dr-use1-eks,checkout,"[0.35,0.956,0.685,0.821,0.935,0.619,0.946,0.996,0.588,0.894,0.242,0.455]",0.9447,78,2026-05-06 02:47:52,2026-06-12 04:29:24,"{""svc"":""cart-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
340,crashloop,orders-worker-plateau,dr-use1-eks,orders,"[0.31,0.054,0.987,0.794,0.944,0.6,0.136,0.866,0.722,0.679,0.076,0.394]",0.6224,125,2026-05-06 12:19:31,2026-05-24 12:01:17,"{""svc"":""orders-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
341,memory_leak,orders-worker-plateau,prod-use2-eks,orders,"[0.31,0.417,0.164,0.506,0.842,0.263,0.543,0.832,0.254,0.991,0.247,0.297]",0.6249,195,2026-05-02 04:32:25,2026-06-22 00:22:41,"{""svc"":""orders-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
342,cpu_spike,inventory-svc-plateau,prod-use2-eks,inventory,"[0.128,0.575,0.996,0.593,0.42,0.039,0.882,0.506,0.019,0.658,0.567,0.612]",0.893,16,2026-05-04 06:02:34,2026-06-10 20:32:46,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
343,memory_leak,ledger-svc-spike,prod-usw2-eks,ledger,"[0.75,0.139,0.566,0.208,0.069,0.609,0.621,0.394,0.049,0.653,0.461,0.857]",0.9081,43,2026-05-11 04:27:34,2026-06-14 19:25:55,"{""svc"":""ledger-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
344,crashloop,checkout-web-sawtooth,prod-usw2-eks,checkout,"[0.698,0.497,0.893,0.542,0.743,0.684,0.673,0.283,0.857,0.745,0.426,0.608]",0.7978,55,2026-05-04 13:17:18,2026-06-19 21:12:47,"{""svc"":""checkout-web"",""scenario"":""healthy""}",2026-06-23 12:00:00
345,crashloop,search-api-plateau,prod-use2-eks,search,"[0.514,0.646,0.478,0.646,0.749,0.043,0.119,0.861,0.479,0.723,0.328,0.38]",0.8082,134,2026-05-11 08:52:06,2026-06-08 05:48:19,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
346,cpu_spike,checkout-web-sawtooth,staging-use2-eks,checkout,"[0.727,0.24,0.444,0.491,0.331,0.934,0.948,0.394,0.176,0.467,0.896,0.027]",0.5412,3,2026-05-01 17:45:15,2026-06-10 06:46:00,"{""svc"":""checkout-web"",""scenario"":""node_pressure""}",2026-06-23 12:00:00
347,oom,session-store-plateau,staging-use2-eks,identity,"[0.065,0.92,0.346,0.449,0.66,0.955,0.014,0.17,0.932,0.501,0.649,0.682]",0.9245,175,2026-05-02 03:23:55,2026-06-21 18:11:43,"{""svc"":""session-store"",""scenario"":""network_latency""}",2026-06-23 12:00:00
348,latency,image-resizer-sawtooth,prod-usw2-eks,platform,"[0.682,0.438,0.141,0.475,0.682,0.295,0.213,0.512,0.58,0.002,0.103,0.301]",0.7117,58,2026-04-30 07:02:02,2026-06-14 02:03:22,"{""svc"":""image-resizer"",""scenario"":""healthy""}",2026-06-23 12:00:00
349,latency,checkout-web-spike,dr-use1-eks,checkout,"[0.414,0.667,0.998,0.518,0.488,0.427,0.266,0.294,0.197,0.473,0.26,0.127]",0.6302,87,2026-05-05 21:17:11,2026-05-31 12:35:52,"{""svc"":""checkout-web"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
350,latency,inventory-svc-rampup,dr-use1-eks,inventory,"[0.45,0.727,0.451,0.645,0.159,0.086,0.624,0.162,0.097,0.31,0.09,0.877]",0.9614,18,2026-04-27 19:14:14,2026-06-18 05:44:57,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
351,crashloop,recommendation-plateau,prod-use2-eks,search,"[0.355,0.383,0.601,0.789,0.348,0.456,0.899,0.09,0.507,0.858,0.784,0.061]",0.5292,199,2026-05-19 17:45:50,2026-06-10 09:41:26,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
352,oom,checkout-web-rampup,dr-use1-eks,checkout,"[0.856,0.581,0.228,0.375,0.67,0.613,0.106,0.556,0.577,0.767,0.235,0.336]",0.6465,102,2026-05-22 20:42:02,2026-06-17 01:05:55,"{""svc"":""checkout-web"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
353,oom,checkout-web-sawtooth,dr-use1-eks,checkout,"[0.121,0.911,0.108,0.825,0.732,0.867,0.283,0.176,0.356,0.851,0.095,0.081]",0.8679,54,2026-05-15 19:53:36,2026-06-08 23:20:39,"{""svc"":""checkout-web"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
354,crashloop,inventory-svc-plateau,staging-use2-eks,inventory,"[0.329,0.535,0.368,0.188,0.384,0.133,0.404,0.841,0.854,0.859,0.259,0.106]",0.5601,37,2026-05-06 00:19:28,2026-05-29 08:27:30,"{""svc"":""inventory-svc"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
355,cpu_spike,checkout-web-spike,prod-usw2-eks,checkout,"[0.583,0.475,0.43,0.09,0.267,0.281,0.235,0.891,0.082,0.048,0.796,0.739]",0.5679,58,2026-05-11 19:05:50,2026-06-19 17:49:39,"{""svc"":""checkout-web"",""scenario"":""healthy""}",2026-06-23 12:00:00
356,oom,image-resizer-spike,prod-usw2-eks,platform,"[0.254,0.556,0.333,0.088,0.063,0.446,0.688,0.806,0.25,0.582,0.776,0.733]",0.5995,31,2026-05-09 14:18:24,2026-06-06 15:11:40,"{""svc"":""image-resizer"",""scenario"":""healthy""}",2026-06-23 12:00:00
357,crashloop,payments-worker-rampup,prod-use2-eks,payments,"[0.141,0.613,0.348,0.898,0.335,0.601,0.67,0.867,0.693,0.508,0.644,0.657]",0.9462,158,2026-05-06 11:12:21,2026-05-28 14:48:06,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
358,crashloop,ledger-svc-sawtooth,prod-usw2-eks,ledger,"[0.847,0.858,0.777,0.564,0.613,0.09,0.591,0.936,0.23,0.008,0.556,0.961]",0.7819,184,2026-05-01 01:28:51,2026-06-21 12:59:39,"{""svc"":""ledger-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
359,memory_leak,cart-svc-spike,prod-usw2-eks,checkout,"[0.841,0.014,0.526,0.052,0.93,0.087,0.71,0.938,0.52,0.639,0.019,0.918]",0.6344,77,2026-04-28 09:09:38,2026-05-30 03:41:43,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
360,memory_leak,orders-worker-plateau,prod-usw2-eks,orders,"[0.827,0.761,0.779,0.007,0.502,0.993,0.489,0.981,0.32,0.524,0.517,0.003]",0.7894,165,2026-05-12 12:05:10,2026-06-19 20:56:46,"{""svc"":""orders-worker"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
361,latency,checkout-web-plateau,dr-use1-eks,checkout,"[0.943,0.966,0.101,0.517,0.373,0.432,0.8,0.516,0.573,0.164,0.276,0.265]",0.6518,126,2026-05-10 03:51:38,2026-06-13 18:11:03,"{""svc"":""checkout-web"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
362,crashloop,indexer-spike,prod-use2-eks,search,"[0.615,0.986,0.292,0.173,0.83,0.552,0.103,0.638,0.771,0.657,0.6,0.38]",0.9334,69,2026-04-26 07:38:47,2026-06-11 18:14:57,"{""svc"":""indexer"",""scenario"":""healthy""}",2026-06-23 12:00:00
363,latency,coredns-rampup,prod-use2-eks,kube-system,"[0.049,0.401,0.776,0.053,0.506,0.005,0.692,0.172,0.766,0.817,0.997,0.939]",0.6014,84,2026-05-15 16:28:34,2026-06-04 12:16:27,"{""svc"":""coredns"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
364,oom,metrics-server-spike,prod-usw2-eks,kube-system,"[0.777,0.324,0.615,0.038,0.659,0.025,0.664,0.895,0.58,0.204,0.768,0.489]",0.7501,116,2026-05-07 16:48:15,2026-06-20 12:31:36,"{""svc"":""metrics-server"",""scenario"":""node_pressure""}",2026-06-23 12:00:00
365,latency,image-resizer-sawtooth,prod-use2-eks,platform,"[0.064,0.417,0.983,0.131,0.055,0.307,0.041,0.718,0.377,0.395,0.928,0.611]",0.5029,92,2026-04-26 07:01:28,2026-06-15 21:03:16,"{""svc"":""image-resizer"",""scenario"":""network_latency""}",2026-06-23 12:00:00
366,crashloop,coredns-spike,prod-usw2-eks,kube-system,"[0.208,0.22,0.818,0.534,0.289,0.984,0.452,0.891,0.652,0.871,0.723,0.904]",0.9034,103,2026-05-13 08:50:02,2026-06-08 23:19:49,"{""svc"":""coredns"",""scenario"":""network_latency""}",2026-06-23 12:00:00
367,cpu_spike,config-svc-spike,prod-usw2-eks,platform,"[0.803,0.547,0.781,0.58,0.39,0.371,0.691,0.313,0.275,0.64,0.958,0.175]",0.587,82,2026-04-26 15:11:57,2026-06-09 13:55:15,"{""svc"":""config-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
368,cpu_spike,payments-api-spike,staging-use2-eks,payments,"[0.84,0.958,0.476,0.555,0.153,0.0,0.259,0.45,0.389,0.88,0.374,0.447]",0.9367,29,2026-05-04 02:45:00,2026-06-02 20:15:08,"{""svc"":""payments-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
369,latency,orders-api-plateau,prod-use2-eks,orders,"[0.407,0.816,0.626,0.132,0.74,0.758,0.789,0.328,0.832,0.252,0.688,0.49]",0.9047,122,2026-05-19 04:14:56,2026-06-16 18:25:32,"{""svc"":""orders-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
370,cpu_spike,indexer-plateau,prod-use2-eks,search,"[0.397,0.69,0.765,0.888,0.731,0.049,0.012,0.39,0.652,0.673,0.883,0.731]",0.8929,58,2026-04-29 18:21:13,2026-06-19 05:35:23,"{""svc"":""indexer"",""scenario"":""healthy""}",2026-06-23 12:00:00
371,memory_leak,ledger-svc-rampup,prod-use2-eks,ledger,"[0.939,0.216,0.676,0.964,0.888,0.355,0.897,0.077,0.519,0.694,0.576,0.752]",0.5104,178,2026-05-17 18:41:53,2026-05-30 04:13:40,"{""svc"":""ledger-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
372,cpu_spike,orders-api-spike,prod-use2-eks,orders,"[0.913,0.181,0.429,0.966,0.493,0.145,0.968,0.234,0.443,0.5,0.964,0.427]",0.5848,89,2026-05-11 14:05:51,2026-06-10 10:54:13,"{""svc"":""orders-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
373,crashloop,search-api-plateau,prod-use2-eks,search,"[0.358,0.192,0.406,0.839,0.385,0.964,0.242,0.464,0.33,0.464,0.613,0.859]",0.9286,92,2026-05-21 14:25:26,2026-06-14 00:48:58,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
374,latency,session-store-spike,staging-use2-eks,identity,"[0.173,0.405,0.522,0.08,0.297,0.04,0.514,0.796,0.633,0.673,0.873,0.705]",0.8986,44,2026-05-09 23:13:52,2026-06-15 05:27:56,"{""svc"":""session-store"",""scenario"":""network_latency""}",2026-06-23 12:00:00
375,crashloop,payments-api-sawtooth,prod-usw2-eks,payments,"[0.772,0.427,0.998,0.787,0.126,0.922,0.868,0.455,0.688,0.591,0.23,0.645]",0.9114,109,2026-05-10 16:53:47,2026-06-10 01:38:32,"{""svc"":""payments-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
376,crashloop,payments-api-plateau,prod-use2-eks,payments,"[0.61,0.67,0.641,0.369,0.426,0.341,0.346,0.278,0.761,0.205,0.825,0.008]",0.8785,181,2026-05-15 02:06:34,2026-05-26 20:14:58,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
377,crashloop,session-store-sawtooth,prod-usw2-eks,identity,"[0.366,0.86,0.287,0.877,0.665,0.443,0.014,0.298,0.075,0.98,0.075,0.552]",0.6719,78,2026-05-20 04:09:45,2026-06-15 20:34:00,"{""svc"":""session-store"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
378,latency,notifications-sawtooth,prod-usw2-eks,notifications,"[0.827,0.078,0.766,0.598,0.049,0.918,0.496,0.554,0.822,0.39,0.177,0.958]",0.9181,107,2026-05-06 14:49:25,2026-06-04 00:48:36,"{""svc"":""notifications"",""scenario"":""healthy""}",2026-06-23 12:00:00
379,cpu_spike,cart-svc-rampup,prod-usw2-eks,checkout,"[0.176,0.942,0.581,0.96,0.607,0.59,0.865,0.886,0.806,0.593,0.029,0.96]",0.9383,132,2026-04-26 12:27:11,2026-05-28 05:00:56,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
380,oom,auth-gateway-sawtooth,staging-use2-eks,identity,"[0.741,0.489,0.168,0.204,0.147,0.555,0.83,0.258,0.235,0.773,0.874,0.646]",0.5398,195,2026-05-15 05:34:13,2026-06-13 05:31:58,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
381,crashloop,cart-svc-plateau,prod-usw2-eks,checkout,"[0.701,0.072,0.123,0.112,0.782,0.957,0.401,0.569,0.694,0.726,0.645,0.746]",0.8632,61,2026-05-17 02:31:39,2026-06-18 19:24:00,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
382,oom,image-resizer-plateau,prod-usw2-eks,platform,"[0.277,0.309,0.68,0.182,0.364,0.017,0.186,0.601,0.715,0.154,0.007,0.175]",0.8803,100,2026-04-26 07:02:57,2026-06-23 04:46:24,"{""svc"":""image-resizer"",""scenario"":""healthy""}",2026-06-23 12:00:00
383,cpu_spike,session-store-sawtooth,prod-use2-eks,identity,"[0.605,0.404,0.805,0.74,0.962,0.958,0.145,0.957,0.805,0.243,0.951,0.228]",0.623,19,2026-05-01 17:58:37,2026-06-16 08:08:53,"{""svc"":""session-store"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
384,memory_leak,checkout-web-rampup,staging-use2-eks,checkout,"[0.685,0.894,0.431,0.183,0.087,0.229,0.581,0.262,0.014,0.555,0.453,0.62]",0.8762,83,2026-05-08 10:36:21,2026-06-10 18:36:11,"{""svc"":""checkout-web"",""scenario"":""node_pressure""}",2026-06-23 12:00:00
385,memory_leak,payments-api-sawtooth,prod-use2-eks,payments,"[0.628,0.625,0.803,0.454,0.399,0.718,0.916,0.769,0.739,0.454,0.18,0.405]",0.7236,106,2026-05-03 02:05:07,2026-05-28 15:13:00,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
386,oom,payments-api-sawtooth,prod-usw2-eks,payments,"[0.359,0.236,0.601,0.359,0.235,0.49,0.893,0.138,0.395,0.57,0.625,0.981]",0.9093,183,2026-05-12 14:08:02,2026-06-17 00:12:49,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
387,latency,indexer-sawtooth,prod-use2-eks,search,"[0.639,0.569,0.262,0.441,0.347,0.246,0.192,0.798,0.558,0.769,0.427,0.099]",0.5734,193,2026-05-04 13:08:36,2026-06-08 08:24:02,"{""svc"":""indexer"",""scenario"":""healthy""}",2026-06-23 12:00:00
388,memory_leak,config-svc-rampup,prod-usw2-eks,platform,"[0.698,0.618,0.887,0.432,0.107,0.808,0.764,0.4,0.912,0.561,0.891,0.81]",0.8228,199,2026-05-05 10:59:53,2026-06-22 22:44:27,"{""svc"":""config-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
